208,208,-1,message,user,2017-02-01 19:29:05,So it means if u pay ua loan before the due date is a disadvantage the last time I paid earlier it was still a problem
218,218,-1,message,user,2017-02-01 19:21:58,I said ill pay 5th esther camoon.. Infact you guys took a week to give me a loan and just cant wait 4days for me to pay back??
444,444,-1,message,user,2017-02-01 19:21:18,"I will clear my loan before 15nth,kindly bear with me.January was tough."
676,676,-1,message,user,2017-02-01 19:05:45,Hi can i get the batch number
779,779,-1,message,user,2017-02-01 16:08:21,I Still not satisfied. I am still asking for a review.  My number is 0723506931 or at least give me a clear reason.  Thanks
1092,1092,-1,message,user,2017-02-01 14:07:37,I got only this number please help me
1155,1155,-1,message,user,2017-02-01 12:07:07,"Hello,our salaries have been delayed but hopefully will be paid today or tomorrow."
1241,1241,-1,message,user,2017-02-02 15:57:36,Thanks Branch for being understanding ..have cleared my loan....God bless you
1245,1245,-1,message,user,2017-02-03 14:23:45,"Hi, kindly can i have the batch number"
1354,1354,-1,message,user,2017-02-03 14:23:25,No need just expunge my details from the system
1481,1481,-1,message,user,2017-02-03 18:59:40,Hello. Why can't you make the loan payment options more... like say a choice between weekly and monthly.. someone to choose when applying for the loans..  regards
2035,2035,-1,message,user,2017-02-02 17:33:52,Ok
2126,2126,-1,message,user,2017-02-02 17:29:24,Any response to my above queries please???
2517,2517,-1,message,user,2017-02-03 18:53:47,Ok thanks
2780,2780,-1,message,user,2017-02-01 19:02:59,I cant access your services
2788,2788,-1,message,user,2017-02-03 7:01:34,ok
2884,2884,-1,message,user,2017-02-01 12:43:51,The messages are on my line...
2926,2926,-1,message,user,2017-02-03 16:28:35,"Hi! I hope this will take you well, I cleared my loan"
2983,2983,-1,message,user,2017-02-02 16:47:18,Another 7 days what! For the third time now.
3056,3056,-1,message,user,2017-02-02 16:19:26,Hey Branch i am sorry for being late in payment bt i will pay on Monday 6/2/2017 bt the reason of late repayment is due to maturing of cheque because it was signed late bt i apologize n opz it will never happen again.
3091,3091,-1,message,user,2017-02-03 5:17:48,I'll pay the 32/= together with Monday's 566/=
3112,3112,-1,message,user,2017-02-02 21:33:40,I appreciate for da follow-up u made tanx alot
3170,3170,-1,message,user,2017-02-02 12:02:10,sorry for that but i am still  searching for the money but will be paying the loan soon as the deadline i had set passed but i am doing all i can to settle the loan
3643,3643,-1,message,user,2017-02-03 1:52:01,Alright. Thanks.
3701,3701,-1,message,user,2017-02-03 9:06:39,Do I have any other loan that I didn't pay
3725,3725,-1,message,user,2017-02-02 18:25:13,Sorry for the delay i block my mpesa pin but now its okey will pay by end of today
3775,3775,-1,message,user,2017-02-02 17:55:39,"Hi Branch, why do i have the text that my payment is late while its due today? 3feb 2017"
3897,3897,-1,message,user,2017-02-02 5:59:11,Thanks for understanding my situation I look forward to settling my loans on the time I have promised
3900,3900,-1,message,user,2017-02-01 16:06:23,Thanks branch had missed this
